Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, stillness
0, -0.2552722, -0.3266943, 1.035703, 0.01828231, 0.1114886, -0.02226568, 0.9933481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, -0.2552619, -0.3266951, 1.035718, 0.01829232, 0.1114589, -0.02222215, 0.9933522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, -0.2552575, -0.3266861, 1.035721, 0.01831768, 0.111474, -0.02222594, 0.9933499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, -0.2552603, -0.32669, 1.035702, 0.01828753, 0.1114817, -0.02223268, 0.9933494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, -0.2552752, -0.3267041, 1.035728, 0.01828512, 0.1114561, -0.02223958, 0.9933523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, -0.2552779, -0.3267038, 1.035711, 0.01829818, 0.1114726, -0.02226452, 0.9933496, 4.301593E-05, -5.797367E-06, 1.163222E-05, 0.9999999, -0.02679664, -0.0008893944, -0.009089405, -0.1059216, 1.006514, 0.02682439, -0.08079493, -0.3093608, 0.297509, 0.9902883
45, -0.2552695, -0.3266988, 1.035714, 0.01830061, 0.1114756, -0.02222423, 0.9933501, 5.16735E-05, -4.932401E-06, 2.309261E-05, 0.9999999, -0.02924003, -0.01554973, -0.001759239, -0.1046701, 1.011553, 0.02233104, -0.08354597, -0.3073455, 0.2956967, 0.9712034
54, -0.2552599, -0.3266937, 1.035707, 0.01829708, 0.1114821, -0.0222547, 0.9933488, 3.69167E-05, -4.559895E-05, 3.04915E-05, 0.9999999, -0.02068817, -0.004554478, -0.01153279, -0.1066486, 1.011394, 0.02552339, -0.08262032, -0.3111963, 0.2966047, 0.9707132
62, -0.2552596, -0.3266867, 1.035712, 0.01832155, 0.1114679, -0.02222511, 0.9933506, 3.69167E-05, -4.559895E-05, 3.04915E-05, 0.9999999, -0.02679664, -0.0008893944, -0.01153279, -0.1061401, 1.015977, 0.02226361, -0.07894494, -0.3132481, 0.2984146, 0.9530049
71, -0.2552723, -0.3266961, 1.035736, 0.01830796, 0.1114602, -0.02224161, 0.9933513, 5.469937E-05, -3.18673E-05, 2.2789E-05, 1, -0.02679664, -0.0008893944, -0.01153279, -0.1059045, 1.012087, 0.02379488, -0.07981713, -0.3113081, 0.2947787, 0.9684353
79, -0.2552763, -0.3266934, 1.035701, 0.01829313, 0.1114712, -0.02226108, 0.9933499, -6.504357E-06, -5.166419E-05, -1.160335E-05, 1, -0.02313156, -0.01188464, -0.01397618, -0.1059045, 1.012087, 0.02379488, -0.07981713, -0.3113081, 0.2947787, 0.9684353
87, -0.2552824, -0.3267037, 1.035706, 0.01829445, 0.1114865, -0.02227539, 0.9933479, -4.361756E-05, -7.593073E-05, -2.060318E-05, 0.9999999, -0.02557495, -0.01066295, 0.0006841533, -0.1076454, 1.006011, 0.02338674, -0.0854235, -0.3110845, 0.2984307, 0.9919053
95, -0.2552823, -0.3267007, 1.035717, 0.01828903, 0.1114944, -0.02222534, 0.9933482, -1.192838E-05, -5.487225E-05, -3.498048E-06, 0.9999999, -0.03779189, -0.005776173, -0.01153279, -0.1086296, 1.006501, 0.02214844, -0.08636293, -0.3110468, 0.2993425, 0.9896479
104, -0.255267, -0.3266931, 1.03572, 0.01830003, 0.1114682, -0.02228339, 0.9933496, -6.102398E-05, -3.682182E-05, -5.892012E-06, 1, -0.02801834, 0.002775689, -0.004202627, -0.1071538, 1.00552, 0.02388656, -0.08076885, -0.3084091, 0.2956899, 0.9940196
112, -0.2552594, -0.3266917, 1.03571, 0.01831308, 0.1114604, -0.02224404, 0.9933512, -8.456968E-05, -3.65231E-05, 4.036352E-06, 1, -0.03901359, -0.002111089, -0.009089405, -0.104666, 1.011758, 0.0196247, -0.0853961, -0.313947, 0.2975219, 0.9706126
121, -0.2552629, -0.3266989, 1.035707, 0.01829023, 0.1114557, -0.02225283, 0.9933518, -8.456968E-05, -3.65231E-05, 4.036352E-06, 1, -0.03901359, -0.002111089, -0.009089405, -0.1068986, 1.007425, 0.02091053, -0.08262853, -0.3092887, 0.2966042, 0.9868131
129, -0.2552701, -0.3267009, 1.035725, 0.01828572, 0.1114663, -0.02225818, 0.9933507, -0.0001428993, -3.505556E-05, -7.115304E-07, 0.9999998, -0.0365702, -0.01921481, -0.009089405, -0.1068986, 1.007425, 0.02091053, -0.08262853, -0.3092887, 0.2966042, 0.9868131
137, -0.255267, -0.3266925, 1.035712, 0.01829872, 0.1114748, -0.02224667, 0.9933497, -0.0001676772, -1.492794E-05, -1.79694E-05, 0.9999999, -0.03168342, -0.004554478, -0.01641957, -0.1054209, 1.008178, 0.02434399, -0.08357614, -0.3073434, 0.2975156, 0.9841319
145, -0.2552608, -0.3266971, 1.035725, 0.01829545, 0.1114535, -0.02225166, 0.9933521, -0.0001692781, -1.797231E-05, -6.062398E-05, 0.9999998, -0.0353485, -0.0008893944, -0.0103111, -0.1078906, 1.009257, 0.02800881, -0.08351988, -0.3063938, 0.2938776, 0.9784246
153, -0.2552601, -0.3267012, 1.035724, 0.0183036, 0.1114665, -0.022251, 0.9933504, -0.0002277493, -4.380359E-06, -6.018486E-05, 0.9999999, -0.02068817, -0.005776173, -0.004202627, -0.1108396, 1.011438, 0.02280907, -0.08539742, -0.3101327, 0.2966115, 0.9690037
168, -0.2552645, -0.3266918, 1.035712, 0.01828612, 0.1114786, -0.02225415, 0.9933493, -0.0002520811, -4.892296E-05, -4.32618E-05, 0.9999998, -0.02924003, -0.01188464, -0.005424321, -0.1108396, 1.011438, 0.02280907, -0.08539742, -0.3101327, 0.2966115, 0.9690037
172, -0.2552789, -0.3266968, 1.035738, 0.01828288, 0.1114946, -0.02224875, 0.9933478, -0.0002520811, -4.892296E-05, -4.32618E-05, 0.9999998, -0.0365702, 0.002775689, -0.01275449, -0.1078877, 1.007218, 0.0221399, -0.08077574, -0.3103156, 0.2965997, 0.9871116
180, -0.2552845, -0.3267048, 1.035721, 0.01829195, 0.1114776, -0.02224343, 0.9933496, -0.000308292, -7.888081E-05, -6.668689E-05, 0.9999999, -0.0365702, 0.002775689, -0.01275449, -0.1078877, 1.007218, 0.0221399, -0.08077574, -0.3103156, 0.2965997, 0.9871116
187, -0.2552826, -0.326704, 1.035708, 0.01827807, 0.1114817, -0.02225306, 0.9933491, -0.0002943408, -6.180117E-05, -7.579057E-05, 0.9999999, -0.03412681, -0.006997867, -0.01153279, -0.105164, 1.010565, 0.0208695, -0.0816781, -0.3083735, 0.2947828, 0.9750543
195, -0.2552776, -0.326702, 1.035722, 0.01830915, 0.1114884, -0.022254, 0.9933479, -0.0003495151, -0.0001046625, -9.450177E-05, 0.9999999, -0.02557495, 0.003997383, -0.01275449, -0.1066535, 1.010697, 0.02799107, -0.08265182, -0.30738, 0.2975132, 0.9732223
204, -0.2552669, -0.3266881, 1.035723, 0.01829967, 0.1114864, -0.02224889, 0.9933484, -0.0003364459, -2.369436E-05, -9.864522E-05, 0.9999999, -0.02801834, 0.01010586, -0.0103111, -0.1083881, 1.004299, 0.0221808, -0.07988847, -0.3122567, 0.2993261, 0.9985042
212, -0.255264, -0.326688, 1.035713, 0.01826935, 0.1114797, -0.02224966, 0.9933497, -0.0002909601, -1.884438E-05, -0.0001041731, 0.9999999, -0.02068817, 0.0003322999, -0.01275449, -0.1128239, 1.007334, 0.02335493, -0.08353366, -0.3102069, 0.2956974, 0.9843937
220, -0.2552608, -0.3266987, 1.035702, 0.01829014, 0.1114629, -0.02227324, 0.9933507, -0.0002909601, -1.884438E-05, -0.0001041731, 0.9999999, -0.02068817, 0.0003322999, -0.01275449, -0.1093597, 1.010913, 0.02232875, -0.0854358, -0.308223, 0.29843, 0.9717737
229, -0.2552655, -0.326704, 1.035712, 0.01830867, 0.1114813, -0.02224317, 0.9933488, -0.0003078561, -2.104463E-05, -0.0001809224, 0.9999998, -0.02801834, -0.01310634, -0.02374974, -0.1093597, 1.010913, 0.02232875, -0.0854358, -0.308223, 0.29843, 0.9717737
237, -0.2552649, -0.3266923, 1.035727, 0.01831173, 0.1114813, -0.02228412, 0.9933479, -0.0003188234, -3.547757E-06, -0.0002265843, 0.9999999, -0.02557495, 0.005219078, -0.01153279, -0.1049243, 1.008133, 0.02188823, -0.07891887, -0.3122964, 0.2965955, 0.9847417
245, -0.2552652, -0.3266917, 1.035735, 0.01832517, 0.111467, -0.02223925, 0.9933503, -0.0002722396, -2.63988E-05, -0.0002016285, 0.9999999, -0.02190987, 0.01132755, -0.007867711, -0.103681, 1.013013, 0.02329547, -0.0806962, -0.3112747, 0.2920528, 0.9657164
