8, -0.2552465, -0.3266715, 1.035768, 0.01828525, 0.11148, -0.02231429, 0.9933479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, -0.2552422, -0.3266766, 1.035766, 0.01824536, 0.1114757, -0.02228956, 0.9933496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, -0.2552412, -0.3266596, 1.035776, 0.01830402, 0.1114969, -0.02232496, 0.9933454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, -0.2552393, -0.3266531, 1.035777, 0.01828473, 0.1114763, -0.02227917, 0.9933491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, -0.2552372, -0.3266705, 1.035783, 0.01827571, 0.1114818, -0.02231273, 0.9933478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, -0.2552347, -0.326669, 1.035763, 0.01829227, 0.1114676, -0.02230442, 0.9933494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, -0.255244, -0.3266622, 1.035789, 0.01828765, 0.1114704, -0.02230164, 0.9933493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, -0.2552491, -0.3266602, 1.035791, 0.01829018, 0.1114886, -0.02226724, 0.9933479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
61, -0.2552519, -0.3266787, 1.035784, 0.01825463, 0.1114624, -0.02229453, 0.9933509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, -0.2552532, -0.3266771, 1.035766, 0.01828802, 0.111476, -0.02231091, 0.9933484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78, -0.2552587, -0.326667, 1.035791, 0.01825367, 0.1114901, -0.02229988, 0.9933476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86, -0.2552535, -0.3266529, 1.035779, 0.01830577, 0.1114798, -0.02230292, 0.9933478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95, -0.2552468, -0.3266623, 1.035766, 0.01826838, 0.1114833, -0.02229179, 0.9933484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
102, -0.2552469, -0.3266761, 1.035778, 0.01826718, 0.1114796, -0.02229762, 0.9933487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
111, -0.2552425, -0.3266632, 1.03576, 0.01828152, 0.1114786, -0.02229362, 0.9933486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
119, -0.2552462, -0.3266627, 1.035788, 0.01825823, 0.1114438, -0.02227987, 0.9933532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
127, -0.2552417, -0.3266649, 1.035771, 0.01826776, 0.1114675, -0.02230677, 0.9933498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
136, -0.2552374, -0.3266726, 1.035777, 0.01827013, 0.1114799, -0.02228925, 0.9933488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
144, -0.2552326, -0.3266626, 1.035792, 0.01826771, 0.1114597, -0.0222811, 0.9933512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
152, -0.2552308, -0.3266557, 1.035788, 0.01829759, 0.1114551, -0.02228194, 0.9933511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
161, -0.2552449, -0.326664, 1.035783, 0.01826837, 0.1114785, -0.02229763, 0.9933487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
169, -0.2552594, -0.3266768, 1.035759, 0.01826739, 0.1114894, -0.02230119, 0.9933475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
177, -0.2552709, -0.3266708, 1.03576, 0.01828342, 0.1114917, -0.022322, 0.9933464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
186, -0.2552678, -0.3266673, 1.035773, 0.01826109, 0.1114943, -0.02228855, 0.9933472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
202, -0.2552492, -0.3266602, 1.035769, 0.01829305, 0.1114696, -0.02229039, 0.9933495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
206, -0.2552338, -0.3266691, 1.035793, 0.01826824, 0.1114695, -0.02231342, 0.9933494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
211, -0.2552223, -0.3266512, 1.035769, 0.01828678, 0.1114722, -0.02229178, 0.9933493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
219, -0.2552387, -0.326656, 1.035782, 0.0182945, 0.1114631, -0.02230292, 0.9933499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
228, -0.2552513, -0.3266712, 1.035773, 0.01827533, 0.1114761, -0.02229506, 0.993349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
236, -0.2552575, -0.3266862, 1.035776, 0.01824694, 0.1114824, -0.02227037, 0.9933493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
