Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, stillness
0, -0.2524369, -0.3270062, 1.035767, 0.02317987, 0.196915, 0.004388167, 0.9801368, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, -0.2524358, -0.3269931, 1.035768, 0.02316569, 0.1969393, 0.00438464, 0.9801322, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, -0.2524401, -0.3269864, 1.035778, 0.02318329, 0.1969524, 0.004424022, 0.9801289, 0, 0, 0, 1, 0, 0, 0, -0.06346574, 1.012488, 0.0253679, -0.1570951, -0.3092147, 0.2731513, 0.9829894
34, -0.2524431, -0.3269929, 1.035767, 0.02318492, 0.1969399, 0.004438078, 0.9801314, -3.236393E-05, 4.071923E-05, 6.455509E-05, 1, -0.03412681, -0.005776173, -0.002980933, -0.05877216, 1.012331, 0.02095795, -0.1570951, -0.3092147, 0.2731513, 0.9829894
36, -0.2524465, -0.3270192, 1.035782, 0.02320321, 0.1969389, 0.004409003, 0.9801313, -3.236393E-05, 4.071923E-05, 6.455509E-05, 1, -0.03412681, -0.005776173, -0.002980933, -0.05877216, 1.012331, 0.02095795, -0.1552245, -0.3073823, 0.2713273, 0.9858385
41, -0.2524367, -0.327005, 1.035768, 0.02319535, 0.1969585, 0.004414096, 0.9801275, -7.678568E-05, 3.207877E-05, 9.550713E-05, 1, -0.03046173, 0.002775689, -0.007867711, -0.06001382, 1.011443, 0.02539146, -0.1552245, -0.3073823, 0.2713273, 0.9858385
50, -0.2524308, -0.3269924, 1.035794, 0.02321556, 0.1969525, 0.004409689, 0.9801282, -0.0001298883, 1.101661E-05, 7.073721E-05, 1, -0.03168342, -0.005776173, -0.01275449, -0.06370483, 1.015164, 0.02434565, -0.1588944, -0.3100985, 0.270428, 0.9701892
58, -0.2524173, -0.3269872, 1.035778, 0.02318828, 0.1969234, 0.004396373, 0.9801348, -0.0002102684, 3.763364E-05, 2.287328E-05, 1, -0.03290512, -0.002111089, -0.02374974, -0.06198445, 1.011196, 0.02244103, -0.1589369, -0.307235, 0.2722462, 0.9866315
66, -0.2524197, -0.3270045, 1.035779, 0.02315863, 0.1969464, 0.004395795, 0.9801309, -0.0002102684, 3.763364E-05, 2.287328E-05, 1, -0.03290512, -0.002111089, -0.02374974, -0.06198445, 1.011196, 0.02244103, -0.1589369, -0.307235, 0.2722462, 0.9866315
74, -0.2524222, -0.3270053, 1.035777, 0.02316315, 0.196933, 0.004374987, 0.9801335, -0.0002556136, 5.15834E-05, 2.566725E-06, 1, -0.04267867, -0.0008893944, -0.01397618, -0.06172751, 1.015086, 0.02164824, -0.1589067, -0.3072371, 0.2704273, 0.9712325
83, -0.2524265, -0.3269952, 1.035777, 0.02319853, 0.1969458, 0.004338703, 0.9801303, -0.0002350267, 7.242127E-05, 7.414259E-06, 1, -0.01946648, -0.004554478, 0.003127541, -0.06249376, 1.005619, 0.02448634, -0.1561255, -0.3092544, 0.2704207, 1
91, -0.2524354, -0.326992, 1.035789, 0.02318816, 0.1969492, 0.004396302, 0.9801297, -0.0002342085, 5.876954E-05, 9.630341E-06, 1, -0.03290512, -0.005776173, -0.007867711, -0.06249291, 1.004606, 0.02204331, -0.1561831, -0.3063898, 0.2731483, 1
99, -0.2524374, -0.3270084, 1.035771, 0.0231875, 0.1969431, 0.004414894, 0.9801308, -0.0001621684, 6.992009E-05, 7.19456E-05, 1, -0.02435326, 0.006440773, -0.004202627, -0.06297158, 1.01222, 0.02438993, -0.1562133, -0.3063877, 0.2749671, 0.9821191
108, -0.2524363, -0.3270053, 1.035769, 0.02317119, 0.1969369, 0.004411092, 0.9801324, -0.0001679347, 7.401436E-05, 7.167971E-05, 1, -0.03290512, -0.009441256, 0.006792624, -0.06346773, 1.0085, 0.01977287, -0.1560652, -0.3092586, 0.266783, 0.9972444
116, -0.2524394, -0.32699, 1.035766, 0.0232117, 0.196932, 0.004430568, 0.9801323, -0.0001679347, 7.401436E-05, 7.167971E-05, 1, -0.03290512, -0.009441256, 0.006792624, -0.06346773, 1.0085, 0.01977287, -0.1560652, -0.3092586, 0.266783, 0.9972444
124, -0.2524455, -0.3269943, 1.035788, 0.02321466, 0.1969543, 0.004426509, 0.9801279, -0.0001695859, 6.979529E-05, 8.108467E-05, 1, -0.02924003, -0.003332783, -0.002980933, -0.06174424, 1.009259, 0.02394414, -0.1580016, -0.3063188, 0.2713342, 0.9942828
133, -0.2524413, -0.3269994, 1.035766, 0.02318942, 0.1969349, 0.004428858, 0.9801323, -0.0001561474, 6.784394E-05, 0.0001162495, 1, -0.02801834, 0.002775689, -0.01153279, -0.06492197, 1.022021, 0.02399798, -0.1598201, -0.3062477, 0.2695201, 0.9425498
141, -0.2524396, -0.3270098, 1.035774, 0.02320657, 0.1969227, 0.004411673, 0.9801344, -0.0001916061, 8.827081E-05, 8.294545E-05, 1, -0.02313156, 0.0003322999, -0.01275449, -0.06075869, 1.009756, 0.02590549, -0.15804, -0.304409, 0.2731526, 0.9923435
150, -0.2524362, -0.3269979, 1.035787, 0.02317479, 0.1969387, 0.004427906, 0.9801319, -0.0001859274, 0.0001163828, 8.58889E-05, 1, -0.0365702, -0.002111089, -0.004202627, -0.0619864, 1.011468, 0.0244032, -0.1552505, -0.308334, 0.2731464, 0.9853616
