Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, stillness
0, -0.2352134, -0.3271592, 1.011946, 0.05885114, 0.02616434, -0.06167576, 0.9960161, 0, 0, 0, 1, -0.02190987, -0.006997867, -0.01886296, -0.1714384, 1.002024, -0.06985672, -0.01314529, -0.2776881, 0.3337028, 0.9640747
9, -0.2352119, -0.3271539, 1.011953, 0.05884533, 0.02615297, -0.06169137, 0.9960158, -2.041552E-05, -1.329486E-05, 1.041137E-05, 0.9999999, -0.02190987, -0.006997867, -0.01886296, -0.1684669, 1.006608, -0.06966978, -0.01131859, -0.2796668, 0.3355174, 0.9480692
16, -0.2352102, -0.3271413, 1.01196, 0.05885355, 0.026185, -0.06169826, 0.996014, -1.430046E-05, -4.919583E-05, -1.824833E-05, 0.9999999, -0.02557495, -0.008219562, -0.007867711, -0.1684669, 1.006608, -0.06966978, -0.01131859, -0.2796668, 0.3355174, 0.9480692
25, -0.2352061, -0.3271436, 1.011963, 0.05882795, 0.0261768, -0.06166358, 0.996018, -6.952416E-05, -6.440689E-05, -1.447392E-05, 0.9999999, -0.02435326, -0.006997867, -0.006646017, -0.1627982, 1.004057, -0.06937329, -0.01040246, -0.2777957, 0.3355146, 0.9618693
33, -0.2352071, -0.3271492, 1.011974, 0.05886872, 0.02616809, -0.06169445, 0.9960138, -4.908256E-05, -9.299465E-05, -3.109442E-05, 0.9999999, -0.01580139, 0.0003322999, -0.01886296, -0.1699624, 1.001793, -0.0669006, -0.01318235, -0.2795926, 0.3364316, 0.9667655
41, -0.2352038, -0.327154, 1.011945, 0.05886416, 0.02615198, -0.06163603, 0.9960181, -2.334826E-05, -0.0001099688, -5.256454E-05, 0.9999998, -0.02190987, -0.0008893944, -0.005424321, -0.1662625, 1.001232, -0.06688341, -0.01121708, -0.2787203, 0.3291512, 0.9714251
49, -0.2352118, -0.327147, 1.011957, 0.05883435, 0.02615849, -0.06166968, 0.9960176, -2.334826E-05, -0.0001099688, -5.256454E-05, 0.9999998, -0.02190987, -0.0008893944, -0.005424321, -0.1662625, 1.001232, -0.06688341, -0.01038049, -0.2758902, 0.3336953, 0.9690562
59, -0.2352104, -0.3271412, 1.011956, 0.0588468, 0.02616321, -0.06169336, 0.9960153, -1.213048E-05, -9.847537E-05, -3.681658E-05, 0.9999999, -0.02801834, -0.0008893944, -0.0103111, -0.16947, 1.001295, -0.06689221, -0.01125136, -0.2777644, 0.3309699, 0.9388118
66, -0.2352158, -0.3271468, 1.011949, 0.05885781, 0.02617397, -0.06169827, 0.9960141, -3.580842E-05, -8.02658E-05, -8.106872E-05, 0.9999999, -0.02435326, -0.009441256, -0.01153279, -0.1679731, 1.009351, -0.06503864, -0.01125136, -0.2777644, 0.3309699, 0.9388118
75, -0.2352163, -0.3271625, 1.011949, 0.05883824, 0.02617511, -0.0617172, 0.9960141, 7.078983E-06, -0.0001113303, -8.867925E-05, 1, -0.01946648, -0.008219562, -0.02252804, -0.1709373, 1.006189, -0.06819524, -0.01405454, -0.2776526, 0.3327958, 0.9484726
83, -0.2352102, -0.3271429, 1.011947, 0.05882308, 0.02616894, -0.06166827, 0.9960181, -2.861209E-05, -0.0001304273, -0.0001088124, 0.9999999, -0.02190987, -0.01310634, -0.009089405, -0.1647844, 1.001478, -0.06467147, -0.006670839, -0.2788979, 0.3336865, 0.9719883
92, -0.2352063, -0.3271458, 1.011962, 0.05884671, 0.02614961, -0.06168608, 0.9960161, -1.476053E-05, -0.0001967263, -9.705487E-05, 0.9999999, -0.03290512, -0.01188464, -0.01397618, -0.1719341, 1.003563, -0.06545638, -0.01404355, -0.2766998, 0.3318862, 0.9588562
99, -0.2352078, -0.3271415, 1.01196, 0.05884297, 0.0261835, -0.06170865, 0.9960141, -1.476053E-05, -0.0001967263, -9.705487E-05, 0.9999999, -0.03290512, -0.01188464, -0.01397618, -0.1635407, 1.005852, -0.06448574, -0.01400649, -0.2747953, 0.3291574, 0.955606
108, -0.2352025, -0.3271448, 1.011945, 0.05884845, 0.02616606, -0.061678, 0.9960161, -6.731972E-05, -0.0001954151, -0.0001323888, 0.9999999, -0.02557495, -0.009441256, -0.01886296, -0.1635407, 1.005852, -0.06448574, -0.01400649, -0.2747953, 0.3291574, 0.955606
116, -0.2352022, -0.3271437, 1.011952, 0.05886717, 0.02616925, -0.06170741, 0.9960131, -9.217951E-05, -0.0001882346, -0.0001365389, 0.9999999, -0.01946648, -0.0008893944, -0.009089405, -0.1655069, 1.008562, -0.06551273, -0.0103613, -0.2768451, 0.3327861, 0.9434014
125, -0.2351995, -0.3271381, 1.011953, 0.05883275, 0.02616868, -0.06167286, 0.9960173, -8.94228E-05, -0.0001515369, -0.0001260275, 0.9999998, -0.02557495, 0.002775689, -0.01764126, -0.1670027, 0.999491, -0.07005504, -0.00945205, -0.2768806, 0.3336931, 0.9769374
